pkt_size,duration,seq,ack,label
909,0.58,3316,2068,0
1401,2.85,76771,42764,1
867,0.62,7458,2672,0
1447,5.95,78170,83022,1
433,3.75,3010,7151,0
1392,6.18,37426,23468,1
1305,3.73,8911,6005,0
1190,4.76,76639,81482,1
695,0.79,7080,8617,0
1566,5.12,95235,60592,1
1140,2.25,1675,9719,0
1308,4.54,55459,99931,1
967,3.09,6408,8853,0
1483,7.67,27246,76847,1
697,3.23,7592,1884,0
1056,5.49,58069,74201,1
460,4.57,7255,6070,0
1201,5.56,59111,96099,1
973,4.58,9762,5744,0
1452,5.15,21369,16846,1
670,0.33,5896,5612,0
1058,6.83,50752,56166,1
1159,3.78,7116,2621,0
1234,3.33,74380,53456,1
1010,0.58,9975,4301,0
1350,7.56,68139,88008,1
368,4.76,8497,8883,0
1296,4.88,46783,73181,1
1088,2.01,5761,7042,0
1407,7.21,10293,95244,1
1033,3.5,8041,6286,0
1514,5.41,33956,60431,1
1391,3.56,3190,5254,0
1163,4.86,69693,71242,1
1253,1.58,8149,2628,0
1256,5.65,13433,31034,1
949,0.73,3652,7137,0
1097,4.96,74855,61389,1
636,4.97,5290,6209,0
1165,4.7,95601,98980,1
402,0.39,9008,5703,0
1058,5.74,81147,17585,1
1189,0.68,1428,2806,0
1184,7.09,39670,39574,1
1177,2.14,3562,4233,0
1030,2.97,45556,62043,1
1060,1.44,9785,6728,0
1322,5.34,11053,51517,1
696,1.31,6186,6517,0
1447,6.69,51611,18252,1
1360,1.94,7799,9879,0
1334,7.65,78839,54368,1
520,2.42,1079,2587,0
1238,3.89,38482,21865,1
734,1.74,4159,7132,0
1522,4.75,65273,92130,1
311,4.2,6525,9426,0
1398,4.89,84424,32858,1
1213,4.3,1710,3369,0
1214,4.54,83402,97738,1
1077,2.75,1624,9580,0
1013,3.92,89363,91735,1
1376,2.21,4616,5318,0
1060,5.6,47069,81784,1
1149,3.65,3141,6342,0
1205,6.97,26078,97720,1
574,3.33,2722,5660,0
1152,5.24,31922,36043,1
1055,4.29,2937,5930,0
1521,6.62,39445,98180,1
586,3.2,9495,5415,0
1549,3.81,13721,89933,1
676,4.98,1458,1317,0
1053,3.91,95868,16330,1
1196,0.73,4482,7582,0
1359,2.8,72135,40045,1
740,0.76,3064,3105,0
1214,3.21,92621,37539,1
429,1.59,6924,6476,0
1590,7.62,99074,96912,1
206,0.77,7225,6647,0
1014,3.51,78871,56401,1
572,4.2,2613,8189,0
1427,4.02,99647,58724,1
771,4.88,1956,8422,0
1033,6.56,33621,39948,1
743,3.84,4170,1716,0
1266,6.01,84630,60506,1
978,4.82,4527,3736,0
1471,7.11,57041,31763,1
381,2.94,9735,7852,0
1435,5.79,63716,60797,1
1178,0.65,8790,8385,0
1264,3.48,88048,19780,1
538,1.23,6855,1907,0
1417,6.47,65606,30788,1
1026,0.36,1295,8082,0
1328,6.21,39730,16837,1
1339,0.45,8056,6399,0
1037,3.22,92166,97509,1
408,0.59,6611,5455,0
1051,4.94,41282,94942,1
1369,1.14,8576,4790,0
1594,5.32,53436,39628,1
640,1.11,7902,4246,0
1009,6.29,41460,18936,1
1236,1.64,2235,1482,0
1308,6.34,77936,82834,1
878,1.27,1183,9268,0
1491,6.89,10728,74854,1
1275,2.95,5014,9524,0
1499,5.61,70460,57832,1
1015,1.51,1153,6182,0
1095,3.67,11190,82943,1
616,3.48,4805,2306,0
1021,5.32,60541,46979,1
794,2.56,5169,5147,0
1203,7.94,45509,76881,1
203,3.51,4549,7843,0
1353,4.85,75137,29109,1
758,1.67,5789,4652,0
1285,7.16,61305,16371,1
1056,4.23,2828,3083,0
1552,5.83,24397,86658,1
314,0.99,6364,5952,0
1591,7.74,79808,95775,1
609,2.54,7676,3748,0
1141,4.81,31733,73436,1
547,1.96,7524,6702,0
